Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,-81.585,-103.17,-90,bottom
C2,1uF,C_0603_1608Metric,-83.9925,-103.17,-90,bottom
L1,22uH,L_Taiyo-Yuden_NR-60xx,-75.9208,-100.4252,90,bottom
R1,10K,R_0603_1608Metric,-127.94,-84.855,0,bottom
R2,10K,R_0603_1608Metric,-116.002,-87.585,-90,bottom
R3,10K,R_0603_1608Metric,-107.874,-87.522,-90,bottom
R4,10K,R_0603_1608Metric,-100,-87.585,-90,bottom
R5,10K,R_0603_1608Metric,-92.126,-87.585,-90,bottom
R6,10K,R_0603_1608Metric,-83.744,-87.585,-90,bottom
R7,10K,R_0603_1608Metric,-74.854,-86.506,180,bottom
R8,10K,R_0603_1608Metric,-74.854,-84.728,180,bottom
R9,10,R_0603_1608Metric,-83.8025,-96,180,bottom
U1,ITR9909,Everlight_ITR9909,-143.18,-82.315,0,bottom
U2,ITR9909,Everlight_ITR9909,-119.05,-84.22,-90,bottom
U3,ITR9909,Everlight_ITR9909,-110.795,-84.22,-90,bottom
U4,ITR9909,Everlight_ITR9909,-102.56,-84.22,-90,bottom
U5,ITR9909,Everlight_ITR9909,-94.94,-84.22,-90,bottom
U6,ITR9909,Everlight_ITR9909,-86.685,-84.22,-90,bottom
U7,ITR9909,Everlight_ITR9909,-78.41,-84.22,-90,bottom
U8,ITR9909,Everlight_ITR9909,-56.82,-84.835,180,bottom
U9,AP3019A,TSOT-23-6,-83.3575,-99.5,-90,bottom
